scenario,interval_id,begin,end,edge_id,speed,traveltime,occupancy,entered,left
scen2,ed_port_scen1,60.0,120.0,22740446#5,9.99,3.22,0.83,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22740446#8,9.49,0.22,0.07,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740446#9,9.92,0.02,0.28,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,241782381#0,7.22,0.15,1.14,1.0,0.0
scen2,ed_port_scen1,60.0,120.0,27235970#10,5.83,2.65,1.45,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,27235970#11,5.73,2.84,1.46,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,27235970#5,5.86,2.04,1.4,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,27235970#6,5.27,2.08,1.65,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,27235970#7,5.85,5.23,1.42,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,27235970#8,6.11,0.03,1.36,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,27235970#9,5.43,4.52,1.53,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,27235997#0,4.28,0.04,5.85,2.0,3.0
scen2,ed_port_scen1,60.0,120.0,27235997#1,11.3,21.33,2.19,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,27235997#2,12.06,1.37,2.07,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,27235997#3,12.44,0.02,2.01,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,542415702,16.97,3.56,0.09,1.0,0.0
scen2,ed_port_scen1,60.0,120.0,542415707#1,12.24,2.2,0.68,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,542415707#2,12.14,1.1,0.69,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,542415707#3,11.37,3.64,0.73,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,542415708#2,14.78,1.71,0.28,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,542415708#3,11.3,0.35,0.37,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,542415708#4,11.54,0.02,0.72,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,542415715#0,17.03,1.53,0.24,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,542415715#1,19.67,1.5,0.49,1.0,2.0
scen2,ed_port_scen1,60.0,120.0,542415715#2,14.32,4.78,1.8,3.0,4.0
scen2,ed_port_scen1,60.0,120.0,542415715#2-AddedOnRampEdge,19.14,5.01,0.87,4.0,3.0
scen2,ed_port_scen1,60.0,120.0,542415718#0,23.84,1.42,0.35,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,542415718#1,15.97,3.97,0.69,3.0,4.0
scen2,ed_port_scen1,60.0,120.0,542415718#2,8.61,1.69,1.52,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,542415722#1,12.44,0.02,0.58,4.0,4.0
scen2,ed_port_scen1,60.0,120.0,542415722#2,13.82,0.01,0.8,4.0,4.0
scen2,ed_port_scen1,60.0,120.0,542415722#3,14.17,0.01,0.78,4.0,4.0
scen2,ed_port_scen1,60.0,120.0,542415722#4,14.94,0.21,0.75,4.0,4.0
scen2,ed_port_scen1,60.0,120.0,542415722#6,8.37,0.1,1.0,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,542415722#7,8.52,0.21,0.98,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,542415722#8,10.83,0.02,0.51,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,542415722#9,13.71,0.02,0.4,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,542415724#8,14.09,0.96,0.15,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,542415726#0,12.09,0.22,0.69,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,542415726#1,11.56,0.69,1.79,5.0,5.0
scen2,ed_port_scen1,60.0,120.0,542415726#2,13.58,0.08,0.92,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,542415726#3,9.18,0.81,1.81,4.0,4.0
scen2,ed_port_scen1,60.0,120.0,542415726#5,11.73,1.84,1.05,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,542415726#6,9.79,0.09,0.86,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,542415726#7,10.31,0.02,0.81,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,542415726#8,12.14,0.02,0.69,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,626699047,16.39,3.51,0.51,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,626699047.59,20.43,0.57,0.4,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,626699047.67,22.79,2.01,0.37,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,640902587#0,14.36,0.01,0.58,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,640902587#1,14.36,0.01,0.58,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,640902587#2,14.36,0.01,0.42,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,657270556#0,11.56,8.2,0.71,1.0,1.0
